Pre;Post;Sections;Type
ASJL;PVQL;2;chemical
ASJL;ASKL;2;chemical
AIAL;AIML;3;chemical
AIAL;ASJL;3;chemical
AIAL;ASKL;3;chemical
AVM;PVCL;1;chemical
AVM;PVCL;1;chemical
AVM;AVBL;1;chemical
AVM;PVNL;1;chemical
ASHR;ADAR;1;chemical
ASHR;AIAR;1;chemical
RIBR;AIZR;1;chemical
AIZL;RIAL;2;chemical
AIZL;SMBDL;2;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
HSNR;RIML;1;chemical
HSNR;ASHL;1;chemical
AWAL;AFDL;1;chemical
AWAL;ASEL;1;chemical
AVM;PVCL;1;chemical
AVM;AVBL;1;chemical
PVNL;AVJL;1;chemical
PVNL;BDUR;1;chemical
RIML;AIBR;2;chemical
RIML;AVER;2;chemical
ASEL;AIYL;3;chemical
AIYL;RIAL;3;chemical
AIYL;RIBL;3;chemical
ADFL;RIAL;1;chemical
ADFL;AWBL;1;chemical
SDQL;RIS;3;chemical
SDQR;AVAL;1;chemical
SDQR;AIBL;1;chemical
AIYR;RIAR;3;chemical
AIYR;AIZR;3;chemical
AIYR;RIBR;3;chemical
AWAR;AIYR;3;chemical
AWAR;AIZR;3;chemical
AWAR;ADFR;3;chemical
ASER;AIYR;1;chemical
ASER;AIBR;2;chemical
ASER;AIYR;2;chemical
PVPR;PVCR;3;chemical
PVPR;AVBR;3;chemical
AIYR;RIAR;2;chemical
AIYR;AIZR;2;chemical
AIYR;RIBR;2;chemical
AIZR;RIAR;1;chemical
SDQL;RIS;2;chemical
SDQL;AIBR;2;chemical
SDQL;AVAR;2;chemical
AIBR;RIML;3;chemical
AIBR;VB01;3;chemical
VB01;AIBR;1;chemical
VB01;RIML;1;chemical
PVCR;RID;1;chemical
PVCR;SIBVR;1;chemical
ASGL;AIAL;2;chemical
ASGL;AIBL;2;chemical
AIML;AIAL;1;chemical
AIML;ASGL;1;chemical
RIH;RIBL;1;chemical
RIH;RIAL;1;chemical
ADFL;SMBVL;1;chemical
ADFL;RIAL;1;chemical
AVM;SIBVL;2;chemical
AVM;AVBL;2;chemical
AVM;PVR;2;chemical
AFDR;AIYR;3;chemical
AIZR;RIAR;2;chemical
RIH;RIBL;2;chemical
RIH;RIAL;2;chemical
AWBL;RIAL;6;chemical
AWBL;ADFL;6;chemical
AWCL;AIYL;3;chemical
ASEL;AIYL;2;chemical
RIH;RIBL;1;chemical
RIH;RIAL;1;chemical
AIZL;RIAL;1;chemical
